Place or organization,Province/territory,Region,Reporting level,Indicator,Time scale,Time frame,Age-standardized rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Denominator,Crude rate,Rate ratio (income),Potential rate reduction (income),Percent,Refresh date
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,472,"Per 100,000",435,515,-,-,-,-,-,-,"October 15, 2025"
Eastern–Urban Zone (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,472,"Per 100,000",446,500,-,-,-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,460,"Per 100,000",424,500,-,-,-,-,-,-,"October 15, 2025"
Hamilton Public Health Services (Ont.),Ontario,Hamilton Public Health Services (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,460,"Per 100,000",444,477,-,-,-,-,-,-,"October 15, 2025"
Lanaudière Region (Que.),Quebec,Lanaudière Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,460,"Per 100,000",445,475,-,-,-,-,-,-,"October 15, 2025"
New Brunswick,New Brunswick,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,484,"Per 100,000",470,498,-,-,-,2.3,36.3,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,484,"Per 100,000",447,527,-,-,-,-,-,-,"October 15, 2025"
North West Region (Ont.),Ontario,North West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,484,"Per 100,000",458,512,-,-,-,-,-,-,"October 15, 2025"
Zone 6 (Bathurst Area) (N.B.),New Brunswick,Zone 6 (Bathurst Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,484,"Per 100,000",445,529,-,-,-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,441,"Per 100,000",403,482,-,-,-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,456,"Per 100,000",418,499,-,-,-,-,-,-,"October 15, 2025"
Hamilton Public Health Services (Ont.),Ontario,Hamilton Public Health Services (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,456,"Per 100,000",440,473,-,-,-,-,-,-,"October 15, 2025"
Prairie Mountain Health Region (Man.),Manitoba,Prairie Mountain Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,456,"Per 100,000",427,487,-,-,-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,393,"Per 100,000",358,433,-,-,-,-,-,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,393,"Per 100,000",358,432,-,-,-,-,-,-,"October 15, 2025"
Interlake–Eastern Health Region (Man.),Manitoba,Interlake–Eastern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,393,"Per 100,000",365,424,-,-,-,-,-,-,"October 15, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,393,"Per 100,000",369,419,-,"181,755",-,-,-,-,"October 15, 2025"
British Columbia,British Columbia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,281,"Per 100,000",277,285,-,-,-,2.4,34.7,-,"October 15, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,281,"Per 100,000",253,313,-,-,-,-,-,-,"October 15, 2025"
Island Health (B.C.),British Columbia,Island Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,281,"Per 100,000",271,292,-,"812,011",-,-,-,-,"October 15, 2025"
Lanaudière Region (Que.),Quebec,Lanaudière Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,281,"Per 100,000",269,294,-,-,-,-,-,-,"October 15, 2025"
