Table 1 30-Day Readmission for Mental Health and Substance Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Reporting level,Place or organization,Hospital Peer Group,Corporation,Region,Province/Territory,Urban or rural/remote,Trend note,Time Scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Risk-adjusted rate,Risk-adjusted rate: Confidence interval lower limit,Risk-adjusted rate: Confidence interval upper limit,Risk-adjusted rate: Statistically different,Risk-adjusted rate: Performance comparison,Risk-adjusted rate: Performance trend,Risk-adjusted rate: Top results,Risk-adjusted rate: Relative standing scatter plot confidence intervals,Numerator,Denominator,Crude rate,Disparity rate ratio,Disparity rate ratio: Confidence interval lower limit,Disparity rate ratio: Confidence interval upper limit,Disparity rate ratio: Statistically different,Potential rate reduction,Potential rate reduction: Confidence interval lower limit,Potential rate reduction: Confidence interval upper limit,Potential rate reduction: Statistically different,Expected
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,12.0,–,–,–,–,–,–,–,"20,285","169,038",–,1.1,1.07,1.17,Yes,5.8,2.27,9.13,Yes,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,6.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,12.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,14.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,11.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Age group,65+,–,–,–,–,–,–,–,–,–,–,7.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,11.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,12.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Urban versus rural/remote,Urban,11.9,11.73,12.08,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q1 (lowest income),12.5,12.23,12.78,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q2,11.8,11.50,12.18,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Urban versus rural/remote,Rural/remote,11.6,11.28,12.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q3,11.5,11.11,11.87,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q4,11.4,11.01,11.83,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q5 (highest income),11.2,10.73,11.60,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,12.3,–,–,–,–,–,–,–,"21,497","174,266",–,1.1,1.03,1.12,Yes,2.9,-0.47,6.09,No,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2016–2017,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,6.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2016–2017,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,12.7,–,–,–,–,–,–,–,–,–
