"Year","Disease","Age group","Sex","Number of reported cases","Rate per 100,000"
"1991","Giardiasis","All","Male",4107,30.76
"1992","Giardiasis","All","Male",3934,29.13
"1993","Giardiasis","All","Male",3799,27.83
"1994","Giardiasis","All","Male",3440,24.93
"1995","Giardiasis","All","Male",3285,23.56
"1996","Giardiasis","All","Male",3157,22.41
"1997","Giardiasis","All","Male",2967,20.04
"1998","Giardiasis","All","Male",3010,20.17
"1999","Giardiasis","All","Male",2869,19.06
"2000","Giardiasis","All","Male",2788,18.35
"2001","Giardiasis","All","Male",2720,17.7
"2002","Giardiasis","All","Male",2606,16.77
"2003","Giardiasis","All","Male",2403,15.33
"2004","Giardiasis","All","Male",2342,14.8
"2005","Giardiasis","All","Male",2415,15.11
"2006","Giardiasis","All","Male",2370,14.68
"2007","Giardiasis","All","Male",2412,14.8
"2008","Giardiasis","All","Male",2435,14.78
"2009","Giardiasis","All","Male",2242,13.45
"2010","Giardiasis","All","Male",2276,13.51
"2011","Giardiasis","All","Male",2211,13
"2012","Giardiasis","All","Male",2229,12.95
"2013","Giardiasis","All","Male",2228,12.81
"2014","Giardiasis","All","Male",2190,12.46
"2015","Giardiasis","All","Male",2302,13
"2016","Giardiasis","All","Male",2296,12.82
"2017","Giardiasis","All","Male",2220,12.24
"2018","Giardiasis","All","Male",2324,12.61
"2019","Giardiasis","All","Male",2326,12.43
"2020","Giardiasis","All","Male",1450,7.66
"2021","Giardiasis","All","Male",1372,7.21
"2022","Giardiasis","All","Male",1421,7.33
"2023","Giardiasis","All","Male",1807,9.38
"1991","Giardiasis","All","Female",3877,28.56
"1992","Giardiasis","All","Female",3471,25.23
"1993","Giardiasis","All","Female",3076,22.1
"1994","Giardiasis","All","Female",2918,20.73
"1995","Giardiasis","All","Female",2740,19.25
"1996","Giardiasis","All","Female",2779,19.31
"1997","Giardiasis","All","Female",2564,16.98
"1998","Giardiasis","All","Female",2403,15.78
"1999","Giardiasis","All","Female",2365,15.4
"2000","Giardiasis","All","Female",2276,14.69
"2001","Giardiasis","All","Female",2110,13.48
"2002","Giardiasis","All","Female",1981,12.52
"2003","Giardiasis","All","Female",1814,11.36
"2004","Giardiasis","All","Female",1816,11.27
"2005","Giardiasis","All","Female",1847,11.36
"2006","Giardiasis","All","Female",1766,10.75
"2007","Giardiasis","All","Female",1790,10.79
"2008","Giardiasis","All","Female",1791,10.68
"2009","Giardiasis","All","Female",1614,9.51
"2010","Giardiasis","All","Female",1680,9.79
"2011","Giardiasis","All","Female",1618,9.34
"2012","Giardiasis","All","Female",1666,9.52
"2013","Giardiasis","All","Female",1578,8.92
"2014","Giardiasis","All","Female",1479,8.28
"2015","Giardiasis","All","Female",1451,8.06
"2016","Giardiasis","All","Female",1560,8.57
"2017","Giardiasis","All","Female",1467,7.97
"2018","Giardiasis","All","Female",1603,8.6
"2019","Giardiasis","All","Female",1567,8.29
"2020","Giardiasis","All","Female",1006,5.27
"2021","Giardiasis","All","Female",963,5.01
"2022","Giardiasis","All","Female",1024,5.24
"2023","Giardiasis","All","Female",1318,6.81
"1991","Gonorrhea","All","Male",7193,51.73
"1992","Gonorrhea","All","Male",5397,38.4
"1993","Gonorrhea","All","Male",3760,26.47
"1994","Gonorrhea","All","Male",3533,24.61
"1995","Gonorrhea","All","Male",3320,22.89
"1996","Gonorrhea","All","Male",2871,19.6
"1997","Gonorrhea","All","Male",2652,17.91
"1998","Gonorrhea","All","Male",3001,20.11
"1999","Gonorrhea","All","Male",3305,21.96
"2000","Gonorrhea","All","Male",3818,25.13
"2001","Gonorrhea","All","Male",4151,27.01
"2002","Gonorrhea","All","Male",4480,28.83
"2003","Gonorrhea","All","Male",4659,29.72
"2004","Gonorrhea","All","Male",5451,34.44
"2005","Gonorrhea","All","Male",5724,35.82
"2006","Gonorrhea","All","Male",6822,42.26
"2007","Gonorrhea","All","Male",6908,42.38
"2008","Gonorrhea","All","Male",7012,42.56
"2009","Gonorrhea","All","Male",6115,36.7
"2010","Gonorrhea","All","Male",6375,37.84
"2011","Gonorrhea","All","Male",6838,40.19
"2012","Gonorrhea","All","Male",7327,42.58
"2013","Gonorrhea","All","Male",8394,48.25
"2014","Gonorrhea","All","Male",10343,58.85
"2015","Gonorrhea","All","Male",12448,70.29
"2016","Gonorrhea","All","Male",15116,84.38
"2017","Gonorrhea","All","Male",18725,103.21
"2018","Gonorrhea","All","Male",22768,123.57
"2019","Gonorrhea","All","Male",23212,124.03
"2020","Gonorrhea","All","Male",19350,102.22
"2021","Gonorrhea","All","Male",20248,106.37
"2022","Gonorrhea","All","Male",23543,121.42
"2023","Gonorrhea","All","Male",28626,143.14
"1991","Gonorrhea","All","Female",5417,38.33
"1992","Gonorrhea","All","Female",4212,29.42
"1993","Gonorrhea","All","Female",3098,21.4
"1994","Gonorrhea","All","Female",2681,18.31
"1995","Gonorrhea","All","Female",2409,16.28
"1996","Gonorrhea","All","Female",2180,14.57
"1997","Gonorrhea","All","Female",1824,12.08
"1998","Gonorrhea","All","Female",2065,13.56
"1999","Gonorrhea","All","Female",2067,13.46
"2000","Gonorrhea","All","Female",2350,15.17
"2001","Gonorrhea","All","Female",2563,16.37
"2002","Gonorrhea","All","Female",2733,17.27
"2003","Gonorrhea","All","Female",3098,19.41
"2004","Gonorrhea","All","Female",3304,20.51
"2005","Gonorrhea","All","Female",3436,21.13
"2006","Gonorrhea","All","Female",4471,27.22
"2007","Gonorrhea","All","Female",4961,29.9
"2008","Gonorrhea","All","Female",5615,33.48
"2009","Gonorrhea","All","Female",5028,29.64
"2010","Gonorrhea","All","Female",4996,29.12
"2011","Gonorrhea","All","Female",5128,29.6
"2012","Gonorrhea","All","Female",5682,32.46
"2013","Gonorrhea","All","Female",5809,32.85
"2014","Gonorrhea","All","Female",5890,32.98
"2015","Gonorrhea","All","Female",7337,40.77
"2016","Gonorrhea","All","Female",8543,46.95
