Zone,Year,Disease,Number of Cases,"Rate per 100,000 population"
Central,2014,Babesiosis,0,0
Nova Scotia,2014,Babesiosis,0,0
Western,2014,Acquired Immune Deficiency Syndrome,0,0
Northern,2014,Acquired Immune Deficiency Syndrome,0,0
Eastern,2014,Acquired Immune Deficiency Syndrome,1,0.6
Central,2014,Acquired Immune Deficiency Syndrome,1,0.2
Nova Scotia,2014,Acquired Immune Deficiency Syndrome,2,0.2
Western,2014,Acute Flaccid Paralysis,0,0
Northern,2014,Acute Flaccid Paralysis,1,0.6
Eastern,2014,Acute Flaccid Paralysis,0,0
Central,2014,Acute Flaccid Paralysis,0,0
Nova Scotia,2014,Acute Flaccid Paralysis,1,0.1
Western,2014,Amebiasis,1,0.5
Northern,2014,Amebiasis,0,0
Eastern,2014,Amebiasis,0,0
Central,2014,Amebiasis,2,0.5
Nova Scotia,2014,Amebiasis,3,0.3
Western,2014,Anaplasmosis,0,0
Northern,2014,Anaplasmosis,0,0
Eastern,2014,Anaplasmosis,0,0
Central,2014,Anaplasmosis,0,0
Nova Scotia,2014,Anaplasmosis,0,0
Western,2014,Anthrax,0,0
Northern,2014,Anthrax,0,0
Eastern,2014,Anthrax,0,0
Central,2014,Anthrax,0,0
Nova Scotia,2014,Anthrax,0,0
Western,2014,Babesiosis,0,0
Northern,2014,Babesiosis,0,0
Eastern,2014,Babesiosis,0,0
Western,2014,Botulism,0,0
Northern,2014,Botulism,0,0
Eastern,2014,Botulism,0,0
Central,2014,Botulism,0,0
Nova Scotia,2014,Botulism,0,0
Western,2014,Brucellosis,0,0
Northern,2014,Brucellosis,0,0
Eastern,2014,Brucellosis,0,0
Central,2014,Brucellosis,0,0
Nova Scotia,2014,Brucellosis,0,0
Western,2014,Campylobacteriosis,55,28
Northern,2014,Campylobacteriosis,27,17.4
Eastern,2014,Campylobacteriosis,12,7.2
Central,2014,Campylobacteriosis,86,20.4
Nova Scotia,2014,Campylobacteriosis,180,19.2
Western,2014,Chlamydia,395,200.9
Northern,2014,Chlamydia,261,168.6
Eastern,2014,Chlamydia,292,176.2
Central,2014,Chlamydia,1680,398.5
Nova Scotia,2014,Chlamydia,2628,279.9
Western,2014,Cholera,0,0
Northern,2014,Cholera,0,0
Eastern,2014,Cholera,0,0
Central,2014,Cholera,0,0
Nova Scotia,2014,Cholera,0,0
Western,2014,Clostridium difficile,134,68.1
Northern,2014,Clostridium difficile,62,40
Eastern,2014,Clostridium difficile,158,95.3
Central,2014,Clostridium difficile,255,60.5
Nova Scotia,2014,Clostridium difficile,609,64.9
Western,2014,Creutzfeldt-Jakob Disease - Classic,1,0.5
Northern,2014,Creutzfeldt-Jakob Disease - Classic,0,0
Eastern,2014,Creutzfeldt-Jakob Disease - Classic,0,0
Central,2014,Creutzfeldt-Jakob Disease - Classic,1,0.2
Nova Scotia,2014,Creutzfeldt-Jakob Disease - Classic,2,0.2
Western,2014,Creutzfeldt-Jakob Disease - Unknown,0,0
Northern,2014,Creutzfeldt-Jakob Disease - Unknown,0,0
Eastern,2014,Creutzfeldt-Jakob Disease - Unknown,0,0
Central,2014,Creutzfeldt-Jakob Disease - Unknown,0,0
Nova Scotia,2014,Creutzfeldt-Jakob Disease - Unknown,0,0
Western,2014,Creutzfeldt-Jakob Disease - Variant,0,0
Northern,2014,Creutzfeldt-Jakob Disease - Variant,0,0
Eastern,2014,Creutzfeldt-Jakob Disease - Variant,0,0
Central,2014,Creutzfeldt-Jakob Disease - Variant,0,0
Nova Scotia,2014,Creutzfeldt-Jakob Disease - Variant,0,0
Western,2014,Cryptosporidiosis,7,3.6
Northern,2014,Cryptosporidiosis,14,9
Eastern,2014,Cryptosporidiosis,2,1.2
Central,2014,Cryptosporidiosis,9,2.1
Nova Scotia,2014,Cryptosporidiosis,32,3.4
Western,2014,Cyclosporiasis,0,0
Northern,2014,Cyclosporiasis,0,0
Eastern,2014,Cyclosporiasis,0,0
Central,2014,Cyclosporiasis,1,0.2
Nova Scotia,2014,Cyclosporiasis,1,0.1
Western,2014,Diphtheria,0,0
Northern,2014,Diphtheria,0,0
Eastern,2014,Diphtheria,0,0
Central,2014,Diphtheria,0,0
Nova Scotia,2014,Diphtheria,0,0
Western,2014,Ebola Virus Disease,0,0
Northern,2014,Ebola Virus Disease,0,0
Eastern,2014,Ebola Virus Disease,0,0
Central,2014,Ebola Virus Disease,0,0
Nova Scotia,2014,Ebola Virus Disease,0,0
Western,2014,Encephalitis - Viral,0,0
Northern,2014,Encephalitis - Viral,1,0.6
Eastern,2014,Encephalitis - Viral,0,0
Central,2014,Encephalitis - Viral,0,0
Nova Scotia,2014,Encephalitis - Viral,1,0.1
Western,2014,Giardiasis,26,13.2
Northern,2014,Giardiasis,12,7.8
Eastern,2014,Giardiasis,11,6.6
Central,2014,Giardiasis,41,9.7
Nova Scotia,2014,Giardiasis,90,9.6
Western,2014,Gonorrhea,13,6.6
Northern,2014,Gonorrhea,9,5.8
Eastern,2014,Gonorrhea,1,0.6
Central,2014,Gonorrhea,90,21.3
Nova Scotia,2014,Gonorrhea,113,12
Western,2014,Group A Streptococcal Disease Invasive,0,0
Northern,2014,Group A Streptococcal Disease Invasive,0,0
Eastern,2014,Group A Streptococcal Disease Invasive,0,0
Central,2014,Group A Streptococcal Disease Invasive,0,0
Nova Scotia,2014,Group A Streptococcal Disease Invasive,0,0
Western,2014,Group A Streptococcal Disease Invasive -> non-Severe,2,1
Northern,2014,Group A Streptococcal Disease Invasive -> non-Severe,6,3.9
Eastern,2014,Group A Streptococcal Disease Invasive -> non-Severe,1,0.6
Central,2014,Group A Streptococcal Disease Invasive -> non-Severe,5,1.2
Nova Scotia,2014,Group A Streptococcal Disease Invasive -> non-Severe,14,1.5
Western,2014,Group A Streptococcal Disease Invasive -> Severe,2,1
Northern,2014,Group A Streptococcal Disease Invasive -> Severe,3,1.9
Eastern,2014,Group A Streptococcal Disease Invasive -> Severe,2,1.2
Central,2014,Group A Streptococcal Disease Invasive -> Severe,1,0.2
Nova Scotia,2014,Group A Streptococcal Disease Invasive -> Severe,8,0.9
Western,2014,Group B Streptococcal Disease of the Newborn,1,0.5
Northern,2014,Group B Streptococcal Disease of the Newborn,0,0
Eastern,2014,Group B Streptococcal Disease of the Newborn,0,0
Central,2014,Group B Streptococcal Disease of the Newborn,0,0
Nova Scotia,2014,Group B Streptococcal Disease of the Newborn,1,0.1
Western,2014,Haemophilus influenzae Type b Invasive Disease,0,0
Northern,2014,Haemophilus influenzae Type b Invasive Disease,0,0
Eastern,2014,Haemophilus influenzae Type b Invasive Disease,0,0
Central,2014,Haemophilus influenzae Type b Invasive Disease,0,0
Nova Scotia,2014,Haemophilus influenzae Type b Invasive Disease,0,0
Western,2014,Hantavirus Pulmonary Syndrome,0,0
Northern,2014,Hantavirus Pulmonary Syndrome,0,0
Eastern,2014,Hantavirus Pulmonary Syndrome,0,0
Central,2014,Hantavirus Pulmonary Syndrome,0,0
Nova Scotia,2014,Hantavirus Pulmonary Syndrome,0,0
Western,2014,Hepatitis A,0,0
Northern,2014,Hepatitis A,0,0
Eastern,2014,Hepatitis A,1,0.6
Central,2014,Hepatitis A,2,0.5
Nova Scotia,2014,Hepatitis A,3,0.3
Western,2014,Hepatitis B - Acute,1,0.5
Northern,2014,Hepatitis B - Acute,0,0
Eastern,2014,Hepatitis B - Acute,2,1.2
Central,2014,Hepatitis B - Acute,1,0.2
Nova Scotia,2014,Hepatitis B - Acute,4,0.4
Western,2014,Hepatitis B - Chronic,1,0.5
Northern,2014,Hepatitis B - Chronic,1,0.6
Eastern,2014,Hepatitis B - Chronic,2,1.2
Central,2014,Hepatitis B - Chronic,16,3.8
Nova Scotia,2014,Hepatitis B - Chronic,20,2.1
Western,2014,Hepatitis B - Chronic or Unspecified,0,0
Northern,2014,Hepatitis B - Chronic or Unspecified,0,0
Eastern,2014,Hepatitis B - Chronic or Unspecified,0,0
Central,2014,Hepatitis B - Chronic or Unspecified,0,0
Nova Scotia,2014,Hepatitis B - Chronic or Unspecified,0,0
Western,2014,Hepatitis C,29,14.7
Northern,2014,Hepatitis C,79,51
