"Data Table: Diabetes mellitus (types combined), excluding gestational diabetes, Age-standardized incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Case counts","Population",
"Canada","Both sexes","Total","1+","2000–2001","717","1.8729","713","721","0.26","158765","28789440",
"Canada","Females","Total","1+","2000–2001","624","2.3736","620","629","0.38","74265","14586980",
"Canada","Males","Total","1+","2000–2001","824","2.9952","818","829","0.36","84500","14202455",
"Canada","Both sexes","Total","1+","2001–2002","732","1.8721","729","736","0.26","166155","29033745",
"Canada","Females","Total","1+","2001–2002","637","2.3751","633","642","0.37","77345","14710075",
"Canada","Males","Total","1+","2001–2002","842","2.9917","836","848","0.36","88810","14323665",
"Canada","Both sexes","Total","1+","2002–2003","748","1.8743","744","752","0.25","172930","29263750",
"Canada","Females","Total","1+","2002–2003","658","2.3920","653","662","0.36","81225","14829320",
"Canada","Males","Total","1+","2002–2003","851","2.9751","845","857","0.35","91705","14434425",
"Canada","Both sexes","Total","1+","2003–2004","728","1.8337","725","732","0.25","171130","29485475",
"Canada","Females","Total","1+","2003–2004","645","2.3503","640","649","0.36","80765","14942600",
"Canada","Males","Total","1+","2003–2004","824","2.9010","819","830","0.35","90370","14542885",
"Canada","Both sexes","Total","1+","2004–2005","765","1.8675","761","768","0.24","181870","29708595",
"Canada","Females","Total","1+","2004–2005","681","2.4036","676","686","0.35","86120","15056985",
"Canada","Males","Total","1+","2004–2005","860","2.9397","855","866","0.34","95750","14651610",
"Canada","Both sexes","Total","1+","2005–2006","794","1.8871","791","798","0.24","192325","29979330",
"Canada","Females","Total","1+","2005–2006","705","2.4247","700","710","0.34","90735","15197560",
"Canada","Males","Total","1+","2005–2006","896","2.9722","890","902","0.33","101590","14781770",
"Canada","Both sexes","Total","1+","2006–2007","833","1.9203","829","837","0.23","203385","30053525",
"Canada","Females","Total","1+","2006–2007","727","2.4484","723","732","0.34","94350","15245290",
"Canada","Males","Total","1+","2006–2007","953","3.0438","947","959","0.32","109030","14808225",
"Canada","Both sexes","Total","1+","2007–2008","784","1.8446","780","787","0.24","194610","30180035",
"Canada","Females","Total","1+","2007–2008","681","2.3496","677","686","0.34","89680","15317740",
"Canada","Males","Total","1+","2007–2008","900","2.9245","894","906","0.32","104935","14862295",
"Canada","Both sexes","Total","1+","2008–2009","773","1.7985","769","776","0.23","198755","30902815",
"Canada","Females","Total","1+","2008–2009","673","2.2933","669","678","0.34","91620","15687460",
"Canada","Males","Total","1+","2008–2009","885","2.8469","880","891","0.32","107135","15215350",
"Canada","Both sexes","Total","1+","2009–2010","816","1.8285","812","819","0.22","213615","31185775",
"Canada","Females","Total","1+","2009–2010","709","2.3306","704","713","0.33","98015","15834595",
"Canada","Males","Total","1+","2009–2010","937","2.8955","931","943","0.31","115600","15351180",
"Canada","Both sexes","Total","1+","2010–2011","754","1.7375","750","757","0.23","201525","31536930",
"Canada","Females","Total","1+","2010–2011","651","2.2089","647","656","0.34","91880","16012655",
"Canada","Males","Total","1+","2010–2011","870","2.7555","865","875","0.32","109650","15524280",
"Canada","Both sexes","Total","1+","2011–2012","723","1.6784","719","726","0.23","197330","31882540",
"Canada","Females","Total","1+","2011–2012","627","2.1383","623","631","0.34","90410","16184335",
"Canada","Males","Total","1+","2011–2012","831","2.6574","826","836","0.32","106920","15698200",
"Canada","Both sexes","Total","1+","2012–2013","671","1.5925","668","674","0.24","187830","32256800",
"Canada","Females","Total","1+","2012–2013","578","2.0238","574","582","0.35","85430","16366940",
"Canada","Males","Total","1+","2012–2013","775","2.5238","770","780","0.33","102395","15889850",
"Canada","Both sexes","Total","1+","2013–2014","682","1.5835","679","685","0.23","195095","32611865",
"Canada","Females","Total","1+","2013–2014","591","2.0181","587","595","0.34","89095","16540075",
"Canada","Males","Total","1+","2013–2014","785","2.5050","781","790","0.32","106000","16071785",
"Canada","Both sexes","Total","1+","2014–2015","667","1.5465","664","670","0.23","194725","32906845",
"Canada","Females","Total","1+","2014–2015","577","1.9709","573","581","0.34","88630","16687315",
"Canada","Males","Total","1+","2014–2015","770","2.4461","765","774","0.32","106090","16219520",
"Canada","Both sexes","Total","1+","2015–2016","663","1.5194","660","666","0.23","197780","33195955",
"Canada","Females","Total","1+","2015–2016","569","1.9315","566","573","0.34","89370","16833635",
