Disease,Year,Region,Prov_Code,Cases,Rate_per_100k,Source_Report
Chlamydia,2010,Canada,CA,94716,278.5,National trend 2010-2019
Chlamydia,2011,Canada,CA,101393,295.3,National trend 2010-2019
Chlamydia,2012,Canada,CA,105281,303.3,National trend 2010-2019
Chlamydia,2013,Canada,CA,105322,300.2,National trend 2010-2019
Chlamydia,2014,Canada,CA,109282,308.4,National trend 2010-2019
Chlamydia,2015,Canada,CA,116445,326.1,National trend 2010-2019
Chlamydia,2016,Canada,CA,121221,335.7,National trend 2010-2019
Chlamydia,2017,Canada,CA,126319,345.7,National trend 2010-2019
Chlamydia,2018,Canada,CA,133131,359.2,National trend 2010-2019
Chlamydia,2019,Canada,CA,139386,370.8,National trend 2010-2019
Gonorrhea,2010,Canada,CA,11381,33.5,National trend 2010-2019
Gonorrhea,2011,Canada,CA,11981,34.9,National trend 2010-2019
Gonorrhea,2012,Canada,CA,13027,37.5,National trend 2010-2019
Gonorrhea,2013,Canada,CA,14228,40.6,National trend 2010-2019
Gonorrhea,2014,Canada,CA,16264,45.9,National trend 2010-2019
Gonorrhea,2015,Canada,CA,19817,55.5,National trend 2010-2019
Gonorrhea,2016,Canada,CA,23706,65.7,National trend 2010-2019
Gonorrhea,2017,Canada,CA,29023,79.4,National trend 2010-2019
Gonorrhea,2018,Canada,CA,34644,93.5,National trend 2010-2019
Gonorrhea,2019,Canada,CA,35443,94.3,National trend 2010-2019
Infectious Syphilis,2010,Canada,CA,1696,5.0,National trend 2010-2019
Infectious Syphilis,2011,Canada,CA,1749,5.1,National trend 2010-2019
Infectious Syphilis,2012,Canada,CA,2053,5.9,National trend 2010-2019
Infectious Syphilis,2013,Canada,CA,2215,6.3,National trend 2010-2019
Infectious Syphilis,2014,Canada,CA,2399,6.8,National trend 2010-2019
Infectious Syphilis,2015,Canada,CA,3200,9.0,National trend 2010-2019
Infectious Syphilis,2016,Canada,CA,3877,10.7,National trend 2010-2019
Infectious Syphilis,2017,Canada,CA,4132,11.3,National trend 2010-2019
Infectious Syphilis,2018,Canada,CA,6307,17.0,National trend 2010-2019
Infectious Syphilis,2019,Canada,CA,9244,24.6,National trend 2010-2019
Chlamydia,2019,British Columbia,BC,,337.7,Provincial 2019
Chlamydia,2019,Alberta,AB,,417.1,Provincial 2019
Chlamydia,2019,Saskatchewan,SK,,516.2,Provincial 2019
Chlamydia,2019,Manitoba,MB,,601.0,Provincial 2019
Chlamydia,2019,Ontario,ON,,354.1,Provincial 2019
Chlamydia,2019,Quebec,QC,,337.1,Provincial 2019
Chlamydia,2019,New Brunswick,NB,,290.7,Provincial 2019
Chlamydia,2019,Nova Scotia,NS,,327.6,Provincial 2019
Chlamydia,2019,Prince Edward Island,PE,,256.9,Provincial 2019
Chlamydia,2019,Newfoundland and Labrador,NL,,198.9,Provincial 2019
Chlamydia,2019,Yukon,YT,,757.0,Provincial 2019
Chlamydia,2019,Northwest Territories,NT,,1901.0,Provincial 2019
Chlamydia,2019,Nunavut,NU,,3876.8,Provincial 2019
Chlamydia,2019,Canada,CA,,370.8,Provincial 2019
Gonorrhea,2019,British Columbia,BC,,81.9,Provincial 2019
Gonorrhea,2019,Alberta,AB,,122.3,Provincial 2019
Gonorrhea,2019,Saskatchewan,SK,,155.4,Provincial 2019
Gonorrhea,2019,Manitoba,MB,,272.5,Provincial 2019
Gonorrhea,2019,Ontario,ON,,76.6,Provincial 2019
Gonorrhea,2019,Quebec,QC,,88.5,Provincial 2019
Gonorrhea,2019,New Brunswick,NB,,7.9,Provincial 2019
Gonorrhea,2019,Nova Scotia,NS,,24.4,Provincial 2019
Gonorrhea,2019,Prince Edward Island,PE,,11.4,Provincial 2019
Gonorrhea,2019,Newfoundland and Labrador,NL,,10.1,Provincial 2019
Gonorrhea,2019,Yukon,YT,,38.6,Provincial 2019
Gonorrhea,2019,Northwest Territories,NT,,1165.9,Provincial 2019
Gonorrhea,2019,Nunavut,NU,,2108.0,Provincial 2019
Gonorrhea,2019,Canada,CA,,94.3,Provincial 2019
Infectious Syphilis,2019,British Columbia,BC,,17.3,Provincial 2019
Infectious Syphilis,2019,Alberta,AB,,51.9,Provincial 2019
Infectious Syphilis,2019,Saskatchewan,SK,,33.7,Provincial 2019
Infectious Syphilis,2019,Manitoba,MB,,136.7,Provincial 2019
Infectious Syphilis,2019,Ontario,ON,,16.4,Provincial 2019
Infectious Syphilis,2019,Quebec,QC,,14.0,Provincial 2019
Infectious Syphilis,2019,New Brunswick,NB,,2.2,Provincial 2019
Infectious Syphilis,2019,Nova Scotia,NS,,5.9,Provincial 2019
Infectious Syphilis,2019,Prince Edward Island,PE,,1.3,Provincial 2019
Infectious Syphilis,2019,Newfoundland and Labrador,NL,,6.3,Provincial 2019
Infectious Syphilis,2019,Yukon,YT,,0.0,Provincial 2019
Infectious Syphilis,2019,Northwest Territories,NT,,97.7,Provincial 2019
Infectious Syphilis,2019,Nunavut,NU,,266.7,Provincial 2019
Infectious Syphilis,2019,Canada,CA,,24.6,Provincial 2019
Chlamydia,2020,Canada,CA,106030,279.0,National trend 2020-2021
Chlamydia,2021,Canada,CA,104426,273.2,National trend 2020-2021
Gonorrhea,2020,Canada,CA,30842,81.1,National trend 2020-2021
Gonorrhea,2021,Canada,CA,32192,84.2,National trend 2020-2021
Infectious Syphilis,2020,Canada,CA,9456,24.9,National trend 2020-2021
Infectious Syphilis,2021,Canada,CA,11540,30.2,National trend 2020-2021
Chlamydia,2021,Canada,CA,104426,273.2,Provincial 2021
Chlamydia,2021,British Columbia,BC,13038,250.6,Provincial 2021
Chlamydia,2021,Alberta,AB,14064,316.5,Provincial 2021
Chlamydia,2021,Saskatchewan,SK,5766,488.0,Provincial 2021
Chlamydia,2021,Manitoba,MB,6561,471.3,Provincial 2021
Chlamydia,2021,Ontario,ON,35389,239.0,Provincial 2021
Chlamydia,2021,Quebec,QC,22590,262.6,Provincial 2021
Chlamydia,2021,New Brunswick,NB,1673,211.7,Provincial 2021
Chlamydia,2021,Nova Scotia,NS,2067,208.6,Provincial 2021
Chlamydia,2021,Prince Edward Island,PE,331,200.9,Provincial 2021
Chlamydia,2021,Newfoundland and Labrador,NL,877,168.5,Provincial 2021
